cleared existing checkpoints

arm64  |  14 cores  |  torch cpu  |  mps available but unused: the net is too small to benefit
an untrained agent wins 0.12 of points against the fixed ladder
training up to 12,000,000 steps on 12 envs
a checkpoint is saved each time it reaches a new tier (Rookie, Amateur, Contender, Pro, Champion, Unbeatable);
strength is measured every 40,000 steps

    Rookie      reached @   10,008 steps  ->  agent_gen_0001   win rate 0.125  worst 0.000
       25,008 steps   training win rate 0.21   strength 0.125   next: Amateur at 0.25
       50,016 steps   training win rate 0.29   strength 0.125   next: Amateur at 0.25
       75,024 steps   training win rate 0.40   strength 0.137   next: Amateur at 0.25
      100,032 steps   training win rate 0.35   strength 0.184   next: Amateur at 0.25
      125,040 steps   training win rate 0.33   strength 0.184   next: Amateur at 0.25
      150,048 steps   training win rate 0.34   strength 0.167   next: Amateur at 0.25
      175,056 steps   training win rate 0.37   strength 0.179   next: Amateur at 0.25
      200,064 steps   training win rate 0.41   strength 0.179   next: Amateur at 0.25
      225,072 steps   training win rate 0.43   strength 0.184   next: Amateur at 0.25
    Amateur     reached @  250,056 steps  ->  agent_gen_0002   win rate 0.256  worst 0.000
      250,080 steps   training win rate 0.43   strength 0.256   next: Contender at 0.40
      275,088 steps   training win rate 0.43   strength 0.256   next: Contender at 0.40
      300,096 steps   training win rate 0.44   strength 0.333   next: Contender at 0.40
      325,104 steps   training win rate 0.45   strength 0.333   next: Contender at 0.40
    Contender   reached @  330,072 steps  ->  agent_gen_0003   win rate 0.434  worst 0.000
      350,112 steps   training win rate 0.50   strength 0.434   next: Pro at 0.52
      375,120 steps   training win rate 0.49   strength 0.405   next: Pro at 0.52
      400,128 steps   training win rate 0.51   strength 0.405   next: Pro at 0.52
      425,136 steps   training win rate 0.53   strength 0.417   next: Pro at 0.52
      450,144 steps   training win rate 0.54   strength 0.458   next: Pro at 0.52
      475,152 steps   training win rate 0.54   strength 0.458   next: Pro at 0.52
      500,160 steps   training win rate 0.59   strength 0.476   next: Pro at 0.52
      525,168 steps   training win rate 0.59   strength 0.476   next: Pro at 0.52
      550,176 steps   training win rate 0.59   strength 0.518   next: Pro at 0.52
      575,184 steps   training win rate 0.60   strength 0.470   next: Pro at 0.52
      600,192 steps   training win rate 0.61   strength 0.470   next: Pro at 0.52
    Pro         reached @  610,128 steps  ->  agent_gen_0004   win rate 0.559  worst 0.167
      625,200 steps   training win rate 0.62   strength 0.559   next: Champion at 0.63
      650,208 steps   training win rate 0.61   strength 0.625   next: Champion at 0.63
      675,216 steps   training win rate 0.61   strength 0.625   next: Champion at 0.63
      700,224 steps   training win rate 0.62   strength 0.548   next: Champion at 0.63
      725,232 steps   training win rate 0.61   strength 0.548   next: Champion at 0.63
      750,240 steps   training win rate 0.61   strength 0.542   next: Champion at 0.63
      775,248 steps   training win rate 0.59   strength 0.536   next: Champion at 0.63
      800,256 steps   training win rate 0.61   strength 0.536   next: Champion at 0.63
      825,264 steps   training win rate 0.60   strength 0.548   next: Champion at 0.63
      850,272 steps   training win rate 0.63   strength 0.613   next: Champion at 0.63
      875,280 steps   training win rate 0.61   strength 0.613   next: Champion at 0.63
      900,288 steps   training win rate 0.62   strength 0.530   next: Champion at 0.63
      925,296 steps   training win rate 0.63   strength 0.530   next: Champion at 0.63
      950,304 steps   training win rate 0.64   strength 0.566   next: Champion at 0.63
      975,312 steps   training win rate 0.64   strength 0.536   next: Champion at 0.63
    1,000,320 steps   training win rate 0.63   strength 0.536   next: Champion at 0.63
    1,025,328 steps   training win rate 0.64   strength 0.530   next: Champion at 0.63
    1,050,336 steps   training win rate 0.66   strength 0.619   next: Champion at 0.63
    1,075,344 steps   training win rate 0.65   strength 0.619   next: Champion at 0.63
    Champion    reached @1,090,224 steps  ->  agent_gen_0005   win rate 0.643  worst 0.292
    1,100,352 steps   training win rate 0.63   strength 0.643   next: Unbeatable at 0.70
    1,125,360 steps   training win rate 0.62   strength 0.643   next: Unbeatable at 0.70
    1,150,368 steps   training win rate 0.60   strength 0.625   next: Unbeatable at 0.70
    1,175,376 steps   training win rate 0.60   strength 0.601   next: Unbeatable at 0.70
    1,200,384 steps   training win rate 0.57   strength 0.601   next: Unbeatable at 0.70
    1,225,392 steps   training win rate 0.57   strength 0.637   next: Unbeatable at 0.70
    1,250,400 steps   training win rate 0.58   strength 0.625   next: Unbeatable at 0.70
    1,275,408 steps   training win rate 0.58   strength 0.625   next: Unbeatable at 0.70
    1,300,416 steps   training win rate 0.58   strength 0.625   next: Unbeatable at 0.70
    1,325,424 steps   training win rate 0.60   strength 0.625   next: Unbeatable at 0.70
